2023-12-11 20:23:13,205:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,221:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,237:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,252:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,252:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,267:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,283:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,299:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,314:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,330:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,345:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,361:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,377:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,423:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,438:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,453:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,453:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,470:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,485:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,501:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,516:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,532:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-11 20:23:13,547:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
