2023-12-10 11:14:51,022:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 415 , y_end: 289 , Cropping True
2023-12-10 11:14:51,022:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 421 , y_end: 294 , Cropping True
2023-12-10 11:14:51,037:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 426 , y_end: 299 , Cropping True
2023-12-10 11:14:51,037:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 431 , y_end: 304 , Cropping True
2023-12-10 11:14:51,037:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 436 , y_end: 307 , Cropping True
2023-12-10 11:14:51,053:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 439 , y_end: 310 , Cropping True
2023-12-10 11:14:51,053:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 443 , y_end: 313 , Cropping True
2023-12-10 11:14:51,069:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 446 , y_end: 316 , Cropping True
2023-12-10 11:14:51,069:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 449 , y_end: 319 , Cropping True
2023-12-10 11:14:51,084:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 451 , y_end: 320 , Cropping True
2023-12-10 11:14:51,084:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 453 , y_end: 322 , Cropping True
2023-12-10 11:14:51,099:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 457 , y_end: 325 , Cropping True
2023-12-10 11:14:51,099:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 460 , y_end: 329 , Cropping True
2023-12-10 11:14:51,115:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 463 , y_end: 330 , Cropping True
2023-12-10 11:14:51,115:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 467 , y_end: 334 , Cropping True
2023-12-10 11:14:51,115:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 473 , y_end: 338 , Cropping True
2023-12-10 11:14:51,131:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 479 , y_end: 342 , Cropping True
2023-12-10 11:14:51,131:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 481 , y_end: 344 , Cropping True
2023-12-10 11:14:51,147:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 486 , y_end: 347 , Cropping True
2023-12-10 11:14:51,147:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 491 , y_end: 350 , Cropping True
2023-12-10 11:14:51,162:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 496 , y_end: 354 , Cropping True
2023-12-10 11:14:51,162:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 498 , y_end: 355 , Cropping True
2023-12-10 11:14:51,178:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 499 , y_end: 357 , Cropping True
2023-12-10 11:14:51,178:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 501 , y_end: 358 , Cropping True
2023-12-10 11:14:51,178:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 503 , y_end: 359 , Cropping True
2023-12-10 11:14:51,194:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 504 , y_end: 360 , Cropping True
2023-12-10 11:14:51,194:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 506 , y_end: 361 , Cropping True
2023-12-10 11:14:51,209:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 508 , y_end: 362 , Cropping True
2023-12-10 11:14:51,209:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 509 , y_end: 363 , Cropping True
2023-12-10 11:14:51,225:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 511 , y_end: 364 , Cropping True
2023-12-10 11:14:51,225:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 512 , y_end: 365 , Cropping True
2023-12-10 11:14:51,240:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 514 , y_end: 366 , Cropping True
2023-12-10 11:14:51,240:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 516 , y_end: 368 , Cropping True
2023-12-10 11:14:51,240:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 518 , y_end: 369 , Cropping True
2023-12-10 11:14:51,256:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 519 , y_end: 370 , Cropping True
2023-12-10 11:14:51,256:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 521 , y_end: 372 , Cropping True
2023-12-10 11:14:51,272:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 522 , y_end: 372 , Cropping True
2023-12-10 11:14:51,272:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 523 , y_end: 373 , Cropping True
2023-12-10 11:14:51,287:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 524 , y_end: 374 , Cropping True
2023-12-10 11:14:51,303:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 525 , y_end: 374 , Cropping True
2023-12-10 11:14:51,303:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 526 , y_end: 375 , Cropping True
2023-12-10 11:14:51,319:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 527 , y_end: 375 , Cropping True
2023-12-10 11:14:51,334:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 528 , y_end: 375 , Cropping True
2023-12-10 11:14:51,350:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 529 , y_end: 376 , Cropping True
2023-12-10 11:14:51,381:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 530 , y_end: 376 , Cropping True
2023-12-10 11:14:51,428:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 530 , y_end: 375 , Cropping True
2023-12-10 11:14:51,459:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 530 , y_end: 375 , Cropping False
2023-12-10 11:14:51,468:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 530 , y_end: 375 , Cropping False
2023-12-10 11:14:51,963:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 530 , y_end: 375 , Cropping True
2023-12-10 11:14:52,165:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 529 , y_end: 375 , Cropping True
2023-12-10 11:14:52,173:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 526 , y_end: 375 , Cropping True
2023-12-10 11:14:52,181:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 522 , y_end: 373 , Cropping True
2023-12-10 11:14:52,188:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 502 , y_end: 366 , Cropping True
2023-12-10 11:14:52,189:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 485 , y_end: 360 , Cropping True
2023-12-10 11:14:52,197:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 468 , y_end: 353 , Cropping True
2023-12-10 11:14:52,206:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 454 , y_end: 348 , Cropping True
2023-12-10 11:14:52,206:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 425 , y_end: 335 , Cropping True
2023-12-10 11:14:52,222:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 417 , y_end: 329 , Cropping True
2023-12-10 11:14:52,222:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 408 , y_end: 324 , Cropping True
2023-12-10 11:14:52,236:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 401 , y_end: 319 , Cropping True
2023-12-10 11:14:52,239:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 396 , y_end: 315 , Cropping True
2023-12-10 11:14:52,239:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 393 , y_end: 313 , Cropping True
2023-12-10 11:14:52,256:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 391 , y_end: 311 , Cropping True
2023-12-10 11:14:52,256:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 390 , y_end: 310 , Cropping True
2023-12-10 11:14:52,271:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 388 , y_end: 309 , Cropping True
2023-12-10 11:14:52,285:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 387 , y_end: 308 , Cropping True
2023-12-10 11:14:52,289:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 387 , y_end: 307 , Cropping True
2023-12-10 11:14:52,289:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 386 , y_end: 307 , Cropping True
2023-12-10 11:14:52,306:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 386 , y_end: 306 , Cropping True
2023-12-10 11:14:52,317:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 385 , y_end: 305 , Cropping True
2023-12-10 11:14:52,322:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 384 , y_end: 305 , Cropping True
2023-12-10 11:14:52,333:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 384 , y_end: 304 , Cropping True
2023-12-10 11:14:52,339:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 384 , y_end: 303 , Cropping True
2023-12-10 11:14:52,355:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 384 , y_end: 302 , Cropping True
2023-12-10 11:14:52,356:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 383 , y_end: 301 , Cropping True
2023-12-10 11:14:52,365:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 383 , y_end: 300 , Cropping True
2023-12-10 11:14:52,381:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 383 , y_end: 299 , Cropping True
2023-12-10 11:14:52,389:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 298 , Cropping True
2023-12-10 11:14:52,397:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 297 , Cropping True
2023-12-10 11:14:52,406:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 296 , Cropping True
2023-12-10 11:14:52,439:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 295 , Cropping True
2023-12-10 11:14:52,472:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 294 , Cropping True
2023-12-10 11:14:52,557:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 293 , Cropping True
2023-12-10 11:14:52,668:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping True
2023-12-10 11:14:52,756:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:52,764:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:52,999:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:52,999:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:52,999:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,015:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,015:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,031:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,031:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,046:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,046:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,062:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
